Código,Nome,Volume,Última (R$),Variação
EQPA3,Equatorial Energia Pará,2.400,5,95,+0,34%
MGEL4,Mangels,2.300,16,80,-3,45%
FRTA3,Pomi Frutas,2.300,2,40,-2,83%
MNPR3,Minupar,2.000,10,59,+0,86%
DEXP4,Dexxos,2.000,9,40,+1,08%
CRPG5,Tronox Pigmentos,1.800,36,77,+1,55%
BDLL4,Bardella,1.600,10,30,+0,00%
WLMM4,WLM,1.500,21,20,+1,68%
CRPG6,Tronox Pigmentos,1.400,33,94,-1,62%
CEDO3,Cedro Têxtil,1.400,9,40,-6,00%
APER3,Alper,1.300,27,52,-0,04%
SNSY3,Sansuy,1.200,5,21,+0,39%
TRPL3,Transmissão Paulista,1.100,30,33,+0,80%
SCAR3,São Carlos,1.100,20,06,+0,30%
BAUH4,Excelsior,1.000,70,89,+1,45%
BALM4,Baumer,1.000,9,10,-4,21%
ENMT3,Energisa MT,800,70,95,-0,07%
ENMT4,Energisa MT,800,70,95,-0,07%
CTNM3,Coteminas,800,9,99,+2,46%
PLAS3,Plascar,800,8,65,-0,80%
PATI4,Panatlântica,700,35,00,+0,00%
MOAR3,Monteiro Aranha,600,418,00,-0,44%
UNIP5,Unipar,600,87,98,+2,36%
CLSC3,Celesc,600,56,87,-1,51%
TELB3,Telebras,600,17,28,-0,69%
EPAR3,EPAR3,600,12,21,-0,08%
CGAS5,Comgás,400,129,49,+0,78%
GEPA3,Rio Paranapanema Energia,400,25,00,+0,00%
CTKA4,Karsten,400,10,00,+0,00%
HETA4,Hercules,400,6,38,+4,08%
CRIV3,Alfa Financeira,400,5,49,+1,29%
GEPA4,Rio Paranapanema Energia,300,26,00,+0,04%
GSHP3,General Shopping & Outlets,300,16,10,+0,75%
LIPR3,Eletropar,200,72,80,+0,00%
CEEB3,COELBA,200,39,00,-0,69%
PATI3,Panatlântica,200,38,40,+6,67%
EALT3,Electro Aço Altona,200,8,59,-0,12%
MNDL3,Mundial,100,55,97,+1,67%
BGIP3,Banese,100,25,13,-1,37%
BGIP4,Banese,100,22,38,+0,81%
CSRN6,COSERN,100,22,23,-0,22%
CSRN3,COSERN,100,22,00,-8,30%
JOPA3,Josapar,100,21,12,-2,04%
BMIN4,Banco Mercantil de Investimentos,100,14,60,+2,10%
BMEB3,Banco Mercantil do Brasil,100,12,37,-0,56%
DMFN3,DMFN3,100,11,87,-18,75%
MERC4,Mercantil do Brasil Financeira,100,7,36,-1,21%
ESTR4,Estrela,100,7,10,+5,97%
NORD3,Nordon,100,5,96,+0,17%
BMKS3,Monark,9,370,00,+0,00%
TEKA4,Teka,14.200,17,36,+8,57%
EMAE4,EMAE,3.100,68,49,+0,43%
DTCY3,Dtcom,2.500,5,65,-2,59%
CPLE5,Copel,1.700,25,60,+0,39%
BSLI4,Banco de Brasília,600,12,12,-1,14%
EKTR4,Elektro,500,36,50,-4,58%
CSAB4,Cia. de Seg. Aliança da Bahia,300,40,10,+0,25%
BRIV4,Alfa Investimento,300,9,80,-2,68%
CRIV4,Alfa Financeira,300,5,35,+0,00%
CRPG3,Tronox Pigmentos,100,40,00,-20,00%
CSAB3,Cia. de Seg. Aliança da Bahia,100,32,11,+0,34%
BMIN3,Banco Mercantil de Investimentos,100,27,35,-1,19%
CBEE3,Ampla Energia,100,14,42,-1,23%
BRSR5,Banrisul,2.100,18,75,-5,06%
EQMA3B,Equatorial Maranhão,1.100,24,10,+0,00%
BRGE3,Consórcio Alfa,1.100,9,77,-1,31%
PEAB3,Participações Aliança da Bahia,1.000,33,29,+5,35%
TKNO4,Tekno,800,58,01,+3,59%
BSLI3,Banco de Brasília,500,16,95,+0,00%
MAPT3,Cemepe,300,30,05,+0,00%
HBTS5,Habitasul,200,42,00,+2,44%
SOND5,Sondotécnica,100,45,00,+12,50%
BALM3,Baumer,100,12,00,+9,09%
RPAD5,Alfa Holdings,5.600,6,92,-2,54%
BNBR3,Banco do Nordeste,200,80,21,-0,10%
BRKM6,Braskem,200,20,50,+9,04%
CSRN5,COSERN,100,25,98,-0,04%
AFLT3,Afluente T,100,9,04,-2,38%
LUXM4,Trevisa,3.900,21,49,-0,05%
CGAS3,Comgás,200,128,00,+0,38%
AHEB3,São Paulo Turismo,100,22,10,+0,00%
AHEB6,São Paulo Turismo,100,18,51,-11,86%
PEAB4,Participações Aliança da Bahia,400,63,10,+5,38%
CRDE3,CR2,400,16,00,+0,00%
BDLL3,Bardella,200,13,10,+0,92%
RPAD6,Alfa Holdings,200,6,77,+1,04%
ESTR3,Estrela,100,19,95,-1,34%
FESA3,Ferbasa,400,58,90,-7,35%
USIM6,Usiminas,100,14,80,+0,00%
RPAD3,Alfa Holdings,700,7,45,+6,13%
IGBR3,IGB Eletrônica,700,175,99,+1,14%
ELET5,Eletrobras,100,70,51,+0,00%
COCE3,Coelce,100,48,62,+3,45%
BRGE11,Consórcio Alfa,100,9,99,+2,04%
BRGE8,Consórcio Alfa,100,9,95,+2,58%
BRGE6,Consórcio Alfa,400,9,45,-9,57%
FRIO3,Metalfrio,100,22,21,-3,48%
CALI3,Adolpho Lindenberg,100,11,11,+0,00%
MSPA4,Melhoramentos,100,40,00,+0,00%
MRSA6B,MRS Logística,200,22,00,-4,60%
BRGE7,Consórcio Alfa,400,9,29,+26,22%
AHEB5,São Paulo Turismo,100,18,50,+0,00%
DOHL3,Döhler,100,10,00,+0,00%
JOPA4,Josapar,200,34,21,-2,56%
MWET3,Wetzel,200,13,28,-55,70%
EKTR3,Elektro,100,34,92,-3,19%
BRGE12,Consórcio Alfa,400,9,90,+0,10%
ODER4,Conservas Oderich,100,100,00,+12,35%
CEEB5,COELBA,100,35,24,+0,09%
EQPA7,Equatorial Energia Pará,300,7,01,-12,38%
PARD3,Hermes Pardini,1.855.100,18,10,+1,23%
CASN3,CASAN,100,10,43,-18,58%
WLMM3,WLM,500,20,00,-9,09%
MAPT4,Cemepe,200,6,82,-33,20%
CEED4,CEEE D,100,30,00,-14,29%
GPAR3,CELGPAR,200,41,92,-8,87%
MTSA3,METISA,200,75,00,+0,00%
SOND6,Sondotécnica,600,32,35,+0,00%
MRSA5B,MRS Logística,100,27,00,+22,39%
WIZS3,WIZS3,779.400,7,16,+1,99%
LLIS3,LLIS3,249.800,1,73,+2,98%
MSPA3,Melhoramentos,400,46,25,-7,52%
BRML3,BRMalls,16.132.900,8,26,+2,35%
DMMO3,Dommo Energia,3.254.800,1,76,-1,12%
EQPA5,Equatorial Energia Pará,100,8,64,+0,93%
GETT3,Getnet,46.500,2,40,+1,27%
GETT4,Getnet,18.500,2,40,+1,27%
SULA4,SulAmérica,18.600,7,63,+5,53%
SULA3,SulAmérica,4.000,7,43,+1,50%
CTKA3,Karsten,200,21,46,-1,20%
BRGE5,Consórcio Alfa,800,11,53,+15,30%
MRSA3B,MRS Logística,100,26,00,+4,00%
CEPE5,CELPE,100,40,12,+0,02%
MERC3,Mercantil do Brasil Financeira,100,15,11,-5,56%
TCNO4,Tecnosolo,36.800,0,85,-9,57%
TCNO3,Tecnosolo,3.400,1,20,-1,64%
CEPE6,CELPE,100,43,00,+6,17%
BKBR3,BKBR3,782.300,7,63,+0,26%
MTIG4,Metalgráfica Iguaçu,100,23,00,+0,00%
BLUT4,Blue Tech Solutions,171.100,1,52,-5,59%
BLUT3,Blue Tech Solutions,13.400,5,14,+0,59%
MODL4,Banco Modal,700,2,72,-2,16%
CARD3,CARD3,118.000,14,51,+1,82%
SHUL3,Schulz,100,27,94,-50,12%
FIGE3,Investimentos Bemge,100,12,03,+99,83%
FNCN3,Finansinos,4.800,14,25,-0,35%
TEKA3,Teka,100,8,23,+1,73%
HETA3,Hercules,200,96,00,+0,00%
LCAM3,Locamerica,26.118.900,24,15,+1,86%
BIDI4,Banco Inter,52.479.800,3,41,-2,01%
BIDI3,Banco Inter,15.262.400,3,40,-2,58%
EEEL4,CEEE GT,100,410,00,-4,27%
EEEL3,CEEE GT,400,421,01,+5,25%
BBRK3,BBRK3,1.279.600,0,80,+1,27%
SOND3,Sondotécnica,200,46,01,+14,45%
CEGR3,Naturgy (CEG),100,89,00,+11,40%
CESP6,CESP,9.306.600,25,25,+1,41%
CESP3,CESP,11.500,25,55,+1,71%
CESP5,CESP,300,25,00,+2,75%
ECPR4,Encorpar,100,90,74,+0,42%
MOSI3,Mosaico,1.021.200,8,24,+3,00%
POWE3,Focus Energia,678.000,10,90,-2,24%
EQPA6,Equatorial Energia Pará,600,10,69,+0,09%
ECPR3,Encorpar,300,90,25,+12,97%
GNDI3,NotreDame Intermédica,33.458.600,65,34,+0,00%
LAME4,Lojas Americanas,43.631.000,6,55,+2,02%
LAME3,Lojas Americanas,10.941.100,6,62,+2,95%
OMGE3,Omega Geração,834.900,27,57,-0,86%
IGTA3,IGTA3,1.641.100,33,13,+0,18%
JPSA3,JPSA3,100.100,29,02,+1,75%
BRDT3,BRDT3,24.483.500,22,03,-5,17%
JBDU4,JBDU4,2.556.100,1,36,+3,82%
JBDU3,JBDU3,1.890.100,3,12,+9,09%
HGTX3,Hering,7.519.800,37,50,-2,65%
CCPR3,CCPR3,328.200,10,16,-4,51%
DTEX3,DTEX3,2.875.600,20,63,-3,10%
VVAR3,VVAR3,65.670.600,11,30,-6,38%
PNVL4,Dimed,2.000,18,62,-2,67%
TESA3,Terra Santa,41.100,48,00,-2,74%
BTOW3,BTOW3,11.169.600,68,00,+4,15%
LINX3,Linx,8.510.000,37,40,-0,27%
BTTL3,Embpar,6.100,19,72,-2,33%
GPCP3,GPCP3,698.100,49,00,-3,92%
GPCP4,GPCP4,5.300,45,51,-1,30%
SMLS3,Smiles,1.944.100,22,40,-1,71%
MMXM3,MMX Mineração,1.240.300,14,00,-30,35%
BSEV3,Biosev,528.800,9,00,+8,43%
CNTO3,CNTO3,2.083.600,28,08,+4,78%
TIET4,AES Tietê Energia,323.700,3,51,+1,15%
TIET3,AES Tietê Energia,169.100,3,49,+0,87%
CORR4,Corrêa Ribeiro,100,82,00,+18,84%
CEPE3,CELPE,1.300,128,00,+85,32%
CALI4,Adolpho Lindenberg,100,50,00,+4,17%
SNSY6,Sansuy,100,11,51,+4,64%
CASN4,CASAN,100,10,00,-16,67%
